ID,Purchase-date,Date,Time,Quarter,Qtr,Year,Month,Date_1,Special Day,Online Sale Offers ,Day,Weekend,Morning,Afternoon,Evening,Night,Gender,Customer ID,"Gender
F=1665
M=1815",Product-Name,Item-Status,Quantity,Currency,Item Price,Shipping-Price,Ship-City,Ship-State,Ship-Postal-Code,Category,"Total_
amount",Author ,Publication,"Profit Percentage
 (%)",Profit (INR),Cost Price
1,01/01/2018 08:57,01/01/2018,08:57:00,2018 - Q1,1,2018,1,1,1,1,1,0,1,0,0,0,1,B07FWXWZT,F,Database System Concepts (Int'l Ed),Shipped,1,INR,999,85,Hyderabad,Telangana,500073,college,1084,Avi Silberschatz,McGraw-Hill,13,129.87,869.13
2,02/01/2018 02:04,01/02/2018,02:04:00,2018 - Q1,1,2018,1,2,1,1,2,0,0,0,0,1,0,B07FWVXXU,M,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,INR,640,85,DHARMAPURI,TAMIL NADU,636701,competition ,725,Team of Engineers Academy, Engineers Academy Publication,17,108.8,531.2
3,03/01/2018 05:08,01/03/2018,05:08:00,2018 - Q1,1,2018,1,3,1,1,3,0,0,0,0,1,0,B07FWVXZS,M,Objective Type Pharmacy,Shipped,1,INR,715,85,GUWAHATI,ASSAM,781024,competition ,800,Dr. mohammed Ali,BHUTERAENTERPRISES,17,121.55,593.45
4,04/01/2018 16:06,01/04/2018,16:06:00,2018 - Q1,1,2018,1,4,0,1,4,0,0,0,1,0,1,B07FWYXVQ,F,A Text Book of Optics,Shipped,1,INR,565,85,Palani,TAMIL NADU,624601,college,650,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
5,04/01/2018 20:12,01/04/2018,20:12:00,2018 - Q1,1,2018,1,4,0,0,4,0,0,0,0,1,1,B07FWXATQ,F,Surveying - Vol. 2,Shipped,1,INR,494,85,PATNA,BIHAR,800013,college,579,Duggal ,McGraw Hill Education,13,64.22,429.78
6,05/01/2018 02:25,01/05/2018,02:25:00,2018 - Q1,1,2018,1,5,0,0,5,0,0,0,0,1,0,B07FWYYRZ,M,Political Theory,Shipped,1,INR,425,85,Dehradun,Uttarakhand,248001,college,510,Dr. Mohinder Slariya ,S. Vinesh & Co,13,55.25,369.75
7,05/01/2018 02:59,01/05/2018,02:59:00,2018 - Q1,1,2018,1,5,0,0,5,0,0,0,0,1,0,B07FWYSTS,M,A Text Book of Optics,Shipped,1,INR,565,85,BHAWANIPATNA,ODISHA,766001,college,650,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
8,05/01/2018 10:46,01/05/2018,10:46:00,2018 - Q1,1,2018,1,5,0,0,5,0,1,0,0,0,1,B07FWXVTV,F,A Text Book of Optics,Shipped,1,INR,565,85,Bongaigaon,ASSAM,783380,college,650,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
9,06/01/2018 03:11,01/06/2018,03:11:00,2018 - Q1,1,2018,1,6,0,0,6,1,0,0,0,1,0,B07FWWTVV,M,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics,Shipped,1,INR,200,85,DIPKA,CHHATTISGARH,495452,competition ,285, Amit M Agarwal, Arihant  (Publication),17,34,166
10,06/01/2018 05:30,01/06/2018,05:30:00,2018 - Q1,1,2018,1,6,0,0,6,1,0,0,0,1,1,B07FWXSXU,F,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,INR,610,85,THIRUVANANTHAPURAM,KERALA,695015,competition ,695,T K V Iyengar,ZONE TECH Publications ,17,103.7,506.3
